Region,city,facility_ID,Facilitylicensingtypearname,Facilityclassificationtypearname,Floorscount,RegularRoomsCount,Regularsuitescount,DeluxeSuitesCount,ParkingsCount
0xC6AF9AC6BF1E23A3E62BEEF3A4656DC3,0xFB7D7159FAF621E2717A3E45E9B53E77,2581,وحدات سكنية مفروشة,درجة رابعة,8,268,52,24,1
0xB74576283864356637DF64230F3987C8,0x3300CBFE6331C95C60370671564AB40F,2582,فندق,نجمتان,5,66,14,10,40
0xB74576283864356637DF64230F3987C8,0x3300CBFE6331C95C60370671564AB40F,2583,وحدات سكنية مفروشة,درجة ثانية,7,2,30,0,34
0xB74576283864356637DF64230F3987C8,0x3300CBFE6331C95C60370671564AB40F,2584,وحدات سكنية مفروشة,درجة ثالثة,4,0,31,0,40
0xB74576283864356637DF64230F3987C8,0x8A2F7DE01774598D2C99D632D1D20D15,2585,وحدات سكنية مفروشة,درجة ثالثة,5,15,15,10,40
0xB74576283864356637DF64230F3987C8,0x3300CBFE6331C95C60370671564AB40F,2586,وحدات سكنية مفروشة,درجة رابعة,5,4,20,2,28
0xB74576283864356637DF64230F3987C8,0x3300CBFE6331C95C60370671564AB40F,2587,وحدات سكنية مفروشة,درجة رابعة,4,18,10,8,20
0xB74576283864356637DF64230F3987C8,0x3300CBFE6331C95C60370671564AB40F,2588,وحدات سكنية مفروشة,درجة ثالثة,5,24,26,12,60
0xB74576283864356637DF64230F3987C8,0x3300CBFE6331C95C60370671564AB40F,2589,وحدات سكنية مفروشة,درجة رابعة,5,0,20,0,20
0x2B9EF58D376B99838B5C594123836DEB,0x2EA2161686589987BE8DA1CCF9A8EF2E,2590,فندق,أربعة نجوم,5,16,186,1,200
0x2B9EF58D376B99838B5C594123836DEB,0x2EA2161686589987BE8DA1CCF9A8EF2E,2591,فندق,أربعة نجوم,2,49,18,2,450
0x2B9EF58D376B99838B5C594123836DEB,0x2EA2161686589987BE8DA1CCF9A8EF2E,2592,فندق,أربعة نجوم,4,70,4,4,66
0x2B9EF58D376B99838B5C594123836DEB,0x2EA2161686589987BE8DA1CCF9A8EF2E,2593,فندق,ثلاثة نجوم,3,19,48,7,78
